Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	75.8007	5.9088	3.99448	2.35718	0.0857998	0.178003	0.651506	0.613521	19.6925	4.38361	0.141873	0.51497	8.92788	5.47278	21.6705	0.514316	51.5925	2.69486	39.2822	16.6118
1	9.40867	8.52073	3.36704	11.9071	3.53608	19.2549	0.00526137	97.2581	5.83049	6.70874	2.09648	0.119204	0.779437	0.624828	0.128393	16.3434	2.24596	0.0742598	0.0522454	8.00106	6.23936	23.727	0.90334	25.5328	37.8771	0.119667	9.40867
2	8681.55	11.3583	3.16858	10.9843	4.15183	7.45121	0.0153161	96.1876	9.9813	6.45169	2.06519	0.258866	0.604873	0.697023	0.839606	16.882	3.52226	0.254668	0.533463	1.74133	1.12833	21.7842	0.725823	45.7788	6.91676	0.233337	8681.55
3	1430.61	13.7836	3.81686	11.3168	3.91394	11.4245	0.0156148	86.289	8.52766	7.23617	1.99127	0.294381	0.33567	0.646043	0.550831	17.1729	2.22899	0.383542	0.128717	2.40367	3.41723	24.9406	0.975661	42.3359	1.468	0.104744	1430.61
4	939.812	7.52009	2.74786	16.172	2.23867	7.98251	0.00523025	79.3577	12.2546	4.19639	1.82775	0.216999	0.450219	0.657889	0.891754	19.8965	3.42511	0.382236	0.095745	5.64847	3.76343	29.5247	0.32978	30.5698	0.381171	2.28416	939.812
5	2902.69	8.44398	2.475	16.2831	3.20711	11.6617	0.0224668	89.8327	9.69023	8.67495	2.39504	0.166591	0.496354	0.617152	0.471591	16.6129	4.84313	0.467446	0.2198	4.92997	3.52304	28.7915	0.90572	40.2592	0.543418	0.657234	2902.69
6	172.026	12.3157	3.90408	12.2938	5.05117	10.1394	0.0355334	80.5184	6.57761	9.64608	1.73457	0.412347	0.259303	0.601899	0.821709	19.5979	2.3857	0.611144	0.818217	5.2336	3.23598	47.3324	1.23685	58.3248	0.790183	2.32358	172.026
7	1078.86	9.22736	3.53543	10.1332	3.69386	6.558	0.0106246	82.426	11.0185	4.57473	2.76111	0.173113	0.866219	0.727251	0.712916	14.7745	7.84435	0.313194	0.109757	7.89793	12.9004	23.7276	0.573422	41.3406	0.565277	27.7432	1078.86
8	150.961	13.8829	4.07887	10.3685	3.98396	16.459	0.00566991	64.3219	10.9331	4.72553	1.03374	0.37637	0.621589	0.744092	0.557527	20.1557	5.3746	0.385891	0.419848	5.78107	13.1206	48.4499	0.868503	34.3957	7.97468	0.980993	150.961
9	2834.51	14.4643	2.71449	11.5834	4.62509	13.0039	0.0152153	63.7784	9.29702	8.24261	1.2545	0.522469	0.625066	0.81622	0.749327	17.873	3.73797	0.334897	0.653998	9.69301	6.72173	41.2876	0.539095	41.9358	0.270266	37.9044	2834.51
10	1353.87	13.7572	2.56665	14.6146	4.65076	17.3857	0.0197249	96.5047	10.9594	8.79854	1.20551	0.472736	0.267178	0.688801	0.528316	18.003	6.74546	0.1049	0.5626	8.27549	3.02371	30.5924	0.741921	28.0335	2.59313	0.139662	1353.87
11	616.043	13.4746	2.32519	14.1173	5.2303	16.4928	0.00497705	91.7463	8.80154	6.65575	1.55269	0.326485	0.684659	0.621769	0.613346	19.2811	3.75597	0.120241	0.473066	2.27943	7.81965	29.4902	0.437013	59.5136	13.029	1.39331	616.043
12	1822.9	10.8523	3.19241	12.9101	5.50046	12.3107	0.00667404	85.5508	10.1724	3.45708	1.8225	0.346102	0.598247	0.6891	0.764342	18.4686	4.90911	0.532433	0.124208	5.95947	8.75391	37.0457	0.573943	31.3298	0.652468	0.73134	1822.9
13	27.1269	8.89351	2.64428	8.87706	3.74899	9.4944	0.0129062	98.3781	8.0323	3.71852	1.41512	0.565764	0.921078	0.695723	0.38308	18.2101	3.85523	0.466883	0.332156	11.0452	12.9896	37.2344	0.75624	25.3768	18.0752	9.40504	27.1269
14	475.174	8.33564	2.87602	16.7376	3.04451	7.52571	0.00482277	79.9305	2.48221	9.46224	1.87749	0.0447411	0.393609	0.726597	0.446853	17.4514	2.90946	0.238944	0.155589	6.55147	4.49632	43.3428	0.0547498	40.4981	3.02937	0.377008	475.174
15	7670.4	11.0022	3.39736	7.90318	3.64272	13.3876	0.00896607	85.9008	5.18067	4.43951	1.78814	0.102441	0.541876	0.703541	0.495091	19.7314	6.06256	0.577494	0.301615	2.80247	5.66828	22.5943	0.281888	35.5593	9.35427	34.5928	7670.4
16	2222.88	19.5088	3.14138	8.39942	3.46974	11.896	0.00455216	61.8998	4.8232	7.47477	2.23151	0.248162	0.6285	0.668316	0.251939	17.695	6.17477	0.219443	0.566742	11.5105	6.79869	30.8808	0.39874	36.845	0.781811	4.80405	2222.88
17	4180.36	15.0209	3.30467	9.77343	6.07291	16.2289	0.00493097	83.9125	9.27507	10.9462	2.09293	0.223068	0.574248	0.731887	0.221936	20.1182	4.506	0.67796	0.080505	1.10231	5.40654	27.3895	0.744346	28.1645	5.06934	1.71161	4180.36
18	4483.63	10.6773	4.25924	9.7484	5.59166	21.7845	0.0162853	101.299	10.1966	9.51318	1.34205	0.425277	0.711029	0.627981	0.643594	19.0116	5.52317	0.452089	0.144641	1.9208	1.72866	36.7086	0.880073	35.4458	1.69905	0.129611	4483.63
19	9.01796	15.3582	3.93831	15.367	5.75731	19.376	0.0520905	76.1818	8.44965	5.02687	2.11717	0.193042	0.342453	0.65015	0.373407	18.596	3.95732	0.434221	0.282099	2.52003	2.91261	27.0619	0.64112	28.3917	23.2832	38.3383	9.01796
20	33.8093	20.4878	2.02115	18.0606	3.01286	7.91822	0.01079	81.4706	3.17778	11.1003	2.32594	0.309478	0.220434	0.716073	0.429424	22.2756	1.73652	0.106348	0.123042	5.12442	2.8392	37.1817	0.56079	51.877	6.69211	2.24778	33.8093
21	28.4336	18.5505	3.83877	11.8441	3.75829	9.36215	0.00874581	62.6377	10.5651	11.1198	2.01551	0.13241	0.47808	0.600003	0.504504	19.1765	3.29478	0.409582	0.199954	2.34424	9.64254	54.4206	0.820282	44.8879	5.52339	0.18479	28.4336
22	13.5171	12.196	2.97498	18.2114	4.42595	8.21724	0.00766937	83.9992	7.00773	6.07211	2.61406	0.296603	0.115911	0.735392	0.205564	20.5752	2.99789	0.25451	0.899186	5.18771	3.69753	50.0532	0.307211	48.7065	37.179	15.956	13.5171
23	75.3249	19.5992	3.76305	19.3453	4.4182	8.3935	0.00595093	70.7543	7.44567	6.12776	2.50279	0.343737	0.424271	0.79884	0.483496	15.9644	4.82747	0.119554	0.170094	7.5487	5.83003	36.7564	0.80611	37.8648	0.181671	9.18124	75.3249
24	94.9802	14.1857	3.41424	13.0334	4.72352	7.53352	0.0029857	91.3246	7.69109	8.08002	1.82461	0.530981	0.662525	0.682091	0.34164	16.6614	3.47658	0.175763	0.48205	5.43424	12.5446	21.2347	0.725425	45.2911	0.597974	5.88883	94.9802
25	1251.49	17.1915	3.73145	19.0644	3.55771	12.7266	0.00501516	74.0494	12.083	8.57096	2.36422	0.386261	0.118704	0.803758	0.605555	16.9896	4.88879	0.362947	0.166384	4.50908	4.17126	31.5894	0.673981	45.8668	24.0812	2.34389	1251.49
26	3567.35	13.3031	2.65111	11.418	3.63309	19.0922	0.0121551	97.5979	9.39151	10.1954	1.60958	0.129422	0.69351	0.761361	0.616188	23.7508	6.04227	0.0794579	0.132641	6.45002	13.9814	26.8002	1.04158	35.9671	21.4345	25.8058	3567.35
27	1301.71	12.8784	3.10495	16.2998	5.14711	11.3954	0.0139145	94.8969	8.44253	7.7122	1.57341	0.480439	0.633015	0.606788	0.637064	20.6775	4.59266	0.158181	0.271218	7.56769	4.01012	41.8327	0.678304	45.4353	18.7879	0.419632	1301.71
28	1403.35	8.52027	3.34638	16.4707	3.10199	6.59898	0.029005	71.5775	11.0988	6.5845	2.79988	0.503312	0.0421955	0.70564	0.760414	18.2214	4.90693	0.208742	0.151454	1.90496	5.25353	29.3695	0.911217	56.3779	6.2792	18.0366	1403.35
29	4495.36	16.0601	2.92739	11.1812	5.27633	8.18993	0.0105626	86.3802	8.13774	5.02105	2.23523	0.1533	0.809997	0.726435	0.483898	18.4282	2.05292	0.102738	0.14092	3.05384	4.34163	37.0093	0.897083	46.7544	0.285709	18.1781	4495.36
30	5136.24	8.24921	3.23668	16.6951	4.93108	15.4539	0.0188829	73.2132	7.62143	11.0322	1.17865	0.18178	0.678572	0.693461	0.327562	19.8544	4.75311	0.189605	0.476308	8.1173	3.96892	30.9585	0.837806	36.812	0.323438	11.8125	5136.24
31	1014.77	11.9132	2.5431	14.8671	4.05148	10.0653	0.0198385	90.1126	13.9182	9.05964	1.91412	0.535984	0.616466	0.630656	0.75475	16.8137	5.8769	0.660044	0.06471	2.02906	6.0238	29.9775	0.622888	43.9462	2.39142	21.1084	1014.77
32	1645.1	20.4255	3.32465	8.33446	3.82249	10.0497	0.00726321	91.8228	3.88934	6.43882	2.44104	0.0706262	0.374956	0.772737	0.519248	16.1865	5.05794	0.415352	0.510307	8.12031	7.65815	27.4559	0.0816312	51.8686	1.54304	18.1565	1645.1
33	199.816	11.2012	2.69279	7.30797	4.92346	6.47937	0.0128776	93.1152	10.0602	8.74846	2.49831	0.432658	0.499117	0.838266	0.169441	19.5414	6.36063	0.117077	0.560717	12.0371	2.58903	36.8272	0.955877	72.3211	23.2612	0.799054	199.816
34	2243.52	17.4339	3.76169	14.6311	3.9788	7.10719	0.0250511	72.2674	5.53478	7.26976	1.93657	0.231505	0.519881	0.695202	0.778515	19.8708	2.90165	0.105245	0.0935141	3.56719	2.65302	32.7767	0.489296	28.9874	37.7417	35.3218	2243.52
35	339.522	7.7838	2.8758	15.0064	5.59012	8.42417	0.0159378	62.5912	12.0833	4.7221	1.1424	0.344937	0.605109	0.782357	0.119457	15.4095	2.44593	0.23871	0.983403	9.32021	6.19025	37.5076	0.774873	34.1051	3.1666	2.03338	339.522
36	45.078	19.4927	3.32612	17.7023	4.35402	12.2651	0.00893254	64.7771	11.1589	5.21727	1.99667	0.0498816	0.571112	0.729422	0.652674	18.5267	3.51044	0.243136	0.229274	1.49363	9.50961	43.632	0.627275	53.8683	26.2386	0.344777	45.078
37	1075.53	13.3485	2.58752	19.4766	4.17286	15.0082	0.0141279	83.7307	6.972	4.24889	1.99389	0.141826	0.467499	0.87771	0.395759	19.2884	3.1046	0.369393	0.417408	8.88304	6.35673	23.0586	0.313893	45.5864	32.7622	0.16098	1075.53
38	500.815	13.0668	3.34278	14.4945	3.84101	6.54516	0.0214547	82.0903	7.40389	7.32941	2.5014	0.421194	0.573914	0.828865	0.616483	20.4944	2.66455	0.476304	0.0553598	10.8544	9.07458	40.1668	0.466418	28.3323	0.392529	20.3221	500.815
