Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	113.541	5.93587	6.2698	1.7431	0.45411	0.738696	0.508696	18.4423	4.56988	0.50281	0.231006	9.06954	8.8852	31.2579	0.667731	46.2236	13.5707	28.9485	16.6118
1	250.036	20.6372	2.44566	12.2541	3.0674	6.45466	0.0147603	126.528	13.6028	7.21916	1.68593	0.638663	0.619385	0.471299	19.2557	2.85093	0.93024	0.0686265	9.67913	7.15465	29.503	0.400922	37.2355	16.6249	16.7727	250.036
2	45.8992	11.2537	1.89554	14.4291	5.45259	10.8133	0.00891338	67.4372	10.4485	3.22675	2.9818	0.687719	0.734434	0.254289	17.6296	4.56692	0.524034	0.277744	6.85205	8.12573	35.6714	0.820634	34.9184	8.34213	9.1104	45.8992
3	10.7521	9.7416	3.07034	11.6919	3.89734	12.1653	0.00584172	91.8247	8.62993	6.31588	2.12959	0.343981	0.809335	0.403094	18.877	6.76278	0.198644	0.13848	10.2742	9.96297	35.566	0.364377	43.8614	12.6164	20.4447	10.7521
4	383.748	20.0509	2.73766	10.3021	4.27417	7.12948	0.00442567	82.9477	8.5235	7.83194	1.43674	0.45609	0.604228	0.0550498	16.1758	4.18034	0.441853	0.170077	3.66117	2.28453	24.5576	0.576435	51.0634	8.57277	10.0969	383.748
5	5105.93	11.2712	3.52588	11.6696	5.15429	5.35214	0.00499002	90.1036	5.05371	4.51782	1.21626	0.314437	0.626727	0.129004	17.9305	4.30864	0.599002	0.3503	13.033	10.3079	42.77	0.69082	54.9165	12.2988	17.2965	5105.93
6	148.428	13.5836	2.87794	9.60343	3.57876	7.52027	0.00879199	74.8268	4.0284	6.12495	1.98755	0.305843	0.623559	0.790694	17.1922	5.23857	0.422443	0.460089	6.33437	1.76629	26.2658	0.576952	34.7184	4.24766	17.4799	148.428
7	3717.8	8.67197	2.07638	10.4605	5.15814	19.8234	0.0231346	87.159	5.00471	5.56267	2.64386	0.516371	0.727415	0.448566	18.2001	6.72529	0.696876	0.565742	2.91334	7.47599	35.962	0.308559	35.7127	5.07228	18.83	3717.8
8	859.508	10.3947	2.08484	13.5739	3.89121	9.94347	0.0206291	110.556	5.74644	6.87515	1.93967	0.604187	0.727251	0.688131	15.9763	6.95644	0.573719	0.282069	12.9004	4.15634	31.0706	0.621623	36.1089	7.78327	36.2556	859.508
9	297.646	17.6675	2.26149	19.5551	4.20238	8.44823	0.0460107	93.7764	6.74674	6.05476	2.53972	0.621516	0.712324	0.521868	16.9328	7.10876	0.809036	0.376036	12.9485	5.72393	51.3473	0.312024	53.2578	8.99581	25.9377	297.646
10	3712.18	10.6398	3.09308	16.1946	5.0585	7.55226	0.0170016	102.426	8.13921	4.6771	2.82716	0.463746	0.674161	0.758172	19.4199	4.48788	0.789229	0.203968	7.76293	9.69301	51.0277	0.594886	52.114	16.4337	8.58843	3712.18
11	1353.87	13.7572	2.56665	14.6146	4.65076	17.3857	0.0197249	105.959	10.7714	5.99317	2.56586	0.545488	0.650689	0.402732	19.0539	4.02217	0.453184	0.116351	9.16549	10.3684	35.6136	0.899712	32.5325	9.97724	19.1811	1353.87
12	20.3091	18.1395	3.43735	18.1402	5.15297	12.7569	0.00923542	98.0119	1.71692	10.2931	1.8959	0.343538	0.751277	0.538557	17.3556	3.89274	0.767869	0.209594	8.38679	5.10953	38.8238	0.603279	48.9271	25.4736	13.6565	20.3091
13	19.364	8.25153	3.13661	18.6171	2.79746	7.56466	0.0156537	89.3525	6.30244	9.86959	2.14612	0.297898	0.739219	0.302461	17.4738	5.24679	0.15724	0.187154	2.93193	3.26001	27.8267	0.448668	37.2783	16.4082	24.9764	19.364
14	1016.83	11.9543	3.01291	18.0289	3.51915	11.4972	0.00281951	88.7168	5.97545	2.8537	2.9846	0.548217	0.649596	0.601047	17.1878	4.96471	0.640847	0.238858	5.02519	6.76489	37.459	0.89517	50.3233	4.33389	10.8061	1016.83
15	7797.05	17.7086	3.27117	15.4493	2.72915	8.77196	0.0129833	106.068	7.68183	3.442	2.86868	0.308902	0.629893	0.182463	16.4169	6.60887	0.238412	0.182246	3.78148	2.01533	34.6994	0.92701	50.9687	25.3138	15.5161	7797.05
16	117.458	14.2925	2.67563	7.5681	4.09655	13.6744	0.00656814	64.3951	3.53892	5.88828	1.29979	0.400948	0.705877	0.14128	19.0979	5.54466	0.203898	0.165557	7.30443	10.3456	46.4241	0.663051	38.0512	6.06764	15.1688	117.458
17	31.5768	9.8676	2.66253	8.72468	2.36273	8.45064	0.0224185	100.408	7.92838	4.23965	1.1597	0.393948	0.742819	0.160802	16.6608	6.50823	0.412133	0.700982	1.59065	10.0197	33.8961	0.717643	34.9866	19.0251	29.7667	31.5768
18	153.151	12.5108	2.4935	17.7365	3.92065	6.57501	0.00407129	130.684	10.0515	6.37377	2.52788	0.545932	0.858768	0.6707	17.8848	7.35095	0.411009	0.311838	10.2188	5.89644	45.5248	0.654777	34.5711	7.0537	18.5971	153.151
19	5956.22	8.17167	2.72042	10.8089	4.62506	8.82432	0.0118745	137.186	5.88205	5.74258	1.18566	0.587306	0.664494	0.625424	16.0573	4.59854	0.427594	0.407132	5.73017	9.73244	28.2711	0.709767	55.3595	25.8299	26.1901	5956.22
20	579.447	12.3591	2.87151	14.9271	2.89958	7.27852	0.0166068	71.1982	8.75608	9.90076	2.76622	0.516791	0.822658	0.407278	19.7445	6.21496	0.391508	0.906284	6.96502	8.7862	46.7291	0.470854	39.2094	28.712	31.546	579.447
21	52.7613	9.89034	3.08092	9.64475	4.56873	7.806	0.00770792	77.9092	6.82955	6.50408	2.01836	0.534855	0.655108	0.449144	16.2025	2.83704	0.416141	0.26975	2.89444	1.43584	40.8349	0.826095	54.4328	33.5089	19.4965	52.7613
22	5284.27	8.49893	2.73178	15.8391	4.94551	8.75701	0.0151593	81.8674	7.23871	4.74208	1.23386	0.485214	0.755079	0.15435	18.6685	5.94947	0.882765	0.193581	7.88817	4.50899	43.5147	0.542252	40.3801	26.6328	10.1621	5284.27
