Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	113.541	5.93587	6.2698	1.7431	0.45411	0.738696	0.531494	19.5305	3.44817	0.50281	0.231006	9.06954	8.8852	27.4769	0.673463	45.6997	13.5707	28.9485	16.6118
1	250.036	20.6372	2.44566	12.2541	3.0674	6.45466	0.0147603	126.528	13.6028	7.21916	1.68593	0.638663	0.619385	0.49424	20.5823	5.41235	0.136359	0.37813	7.15465	2.77081	25.8337	0.451766	34.3828	16.6249	16.7727	250.036
2	45.8992	11.2537	1.89554	14.4291	5.45259	10.8133	0.00891338	67.4372	10.4485	3.22675	2.9818	0.687719	0.734434	0.278065	18.4797	3.44561	0.524034	0.277744	6.85205	8.12573	31.6095	0.800512	31.4654	8.34213	9.1104	45.8992
3	10.7521	9.7416	3.07034	11.6919	3.89734	12.1653	0.00584172	91.8247	8.62993	6.31588	2.12959	0.343981	0.809335	0.426297	20.0925	5.34327	0.198644	0.13848	10.2742	9.96297	31.5109	0.4214	42.7254	12.6164	20.4447	10.7521
4	383.748	20.0509	2.73766	10.3021	4.27417	7.12948	0.00442567	82.9477	8.5235	7.83194	1.43674	0.45609	0.604228	0.0795919	16.5999	3.11153	0.441853	0.170077	3.66117	2.28453	21.203	0.597603	51.7935	8.57277	10.0969	383.748
5	5105.93	11.2712	3.52588	11.6696	5.15429	5.35214	0.00499002	90.1036	5.05371	4.51782	1.21626	0.314437	0.626727	0.153262	18.8688	3.22241	0.599002	0.3503	13.033	10.3079	20.2288	0.749185	47.7996	19.1056	23.0427	5105.93
6	21.7039	11.963	2.25378	12.8586	2.85951	11.5374	0.00240016	69.6206	5.73628	4.89144	1.12701	0.301893	0.670832	0.779486	18.6589	5.8122	0.422443	0.460089	6.33437	1.76629	20.7453	0.49112	41.1436	19.3945	10.7856	21.7039
7	968.367	8.67197	2.54058	7.7204	3.49211	15.9933	0.032213	126.302	6.7159	5.00471	2.64386	0.404178	0.708185	0.550004	18.642	4.36674	0.390284	0.0603088	10.4034	2.91334	31.6776	0.336556	44.2882	9.44745	12.7193	968.367
8	1192.37	7.99198	2.15779	19.6974	3.19158	10.4764	0.00927368	89.5806	10.134	9.05555	1.13925	0.41643	0.695838	0.613922	19.2532	5.25993	0.659745	0.128158	4.68368	3.0732	41.6336	0.652949	53.572	8.55748	9.59829	1192.37
9	1176.63	13.8829	2.25951	10.3685	3.98396	16.459	0.00566991	129.331	7.60715	5.75234	1.28679	0.525176	0.691558	0.397394	19.9334	4.18253	0.489451	0.294137	6.50178	6.09112	26.4021	0.74715	52.9248	9.48453	33.0895	1176.63
