Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	113.541	5.93587	6.2698	1.7431	0.45411	0.738696	0.446075	18.1173	6.53001	0.50281	0.231006	9.06954	8.8852	33.0428	0.486727	50.4601	13.5707	28.9485	16.6118
1	250.036	20.6372	2.44566	12.2541	3.0674	6.45466	0.0147603	126.528	13.6028	7.21916	1.68593	0.638663	0.619385	0.409829	18.6458	8.66255	0.136359	0.37813	7.15465	2.77081	31.4841	0.316588	40.9202	16.6249	16.7727	250.036
2	45.8992	11.2537	1.89554	14.4291	5.45259	10.8133	0.00891338	67.4372	10.4485	3.22675	2.9818	0.687719	0.734434	0.199496	17.5893	6.52723	0.524034	0.277744	6.85205	8.12573	36.9627	0.58423	38.4609	8.34213	9.1104	45.8992
3	10.7521	9.7416	3.07034	11.6919	3.89734	12.1653	0.00584172	91.8247	8.62993	6.31588	2.12959	0.343981	0.809335	0.343722	18.3997	8.58755	0.198644	0.13848	10.2742	9.96297	36.8691	0.293284	47.9529	12.6164	20.4447	10.7521
4	383.748	20.0509	2.73766	10.3021	4.27417	7.12948	0.00442567	82.9477	8.5235	7.83194	1.43674	0.45609	0.604228	0.00638675	16.6448	6.16452	0.441853	0.170077	3.66117	2.28453	27.0917	0.428509	55.597	8.57277	10.0969	383.748
5	5105.93	11.2712	3.52588	11.6696	5.15429	5.35214	0.00499002	90.1036	5.05371	4.51782	1.21626	0.314437	0.626727	0.0780655	17.7848	6.2849	0.599002	0.3503	13.033	10.3079	43.2676	0.50145	59.6868	12.2988	17.2965	5105.93
6	148.428	13.5836	2.87794	9.60343	3.57876	7.52027	0.00879199	74.8268	4.0284	6.12495	1.98755	0.305843	0.623559	0.719396	17.3051	7.15742	0.422443	0.460089	6.33437	1.76629	28.6089	0.428839	38.2485	4.24766	17.4799	148.428
7	3717.8	8.67197	2.07638	10.4605	5.15814	19.8234	0.0231346	87.159	5.00471	5.56267	2.64386	0.516371	0.727415	0.387795	17.9599	8.55237	0.696876	0.565742	2.91334	7.47599	37.2208	0.25769	39.3039	5.07228	18.83	3717.8
8	859.508	10.3947	2.08484	13.5739	3.89121	9.94347	0.0206291	110.556	5.74644	6.87515	1.93967	0.604187	0.727251	0.619988	16.5152	8.76926	0.573719	0.282069	12.9004	4.15634	32.8764	0.457325	39.7244	7.78327	36.2556	859.508
9	297.646	17.6675	2.26149	19.5551	4.20238	8.44823	0.0460107	93.7764	6.74674	6.05476	2.53972	0.621516	0.712324	0.458841	17.1366	8.91217	0.809036	0.376036	12.9485	5.72393	50.8858	0.2599	57.9261	8.99581	25.9377	297.646
10	3712.18	10.6398	3.09308	16.1946	5.0585	7.55226	0.0170016	102.426	8.13921	4.6771	2.82716	0.463746	0.674161	0.687874	18.7524	6.45307	0.789229	0.203968	7.76293	9.69301	50.602	0.440275	56.7122	16.4337	8.58843	3712.18
11	1353.87	13.7572	2.56665	14.6146	4.65076	17.3857	0.0197249	105.959	10.7714	5.99317	2.56586	0.545488	0.650689	0.343371	18.5146	6.01611	0.453184	0.116351	9.16549	10.3684	36.9114	0.634657	35.9284	9.97724	19.1811	1353.87
12	20.3091	18.1395	3.43735	18.1402	5.15297	12.7569	0.00923542	98.0119	1.71692	10.2931	1.8959	0.343538	0.751277	0.475017	17.4113	5.89467	0.767869	0.209594	8.38679	5.10953	39.7627	0.445627	53.3296	25.4736	13.6565	20.3091
