Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	75.8007	5.9088	3.99448	2.35718	0.0857998	0.178003	0.651506	0.627655	20.0877	5.05758	0.141873	0.51497	8.92788	5.47278	24.6741	1.0352	74.1877	2.69486	39.2822	16.6118
1	9.40867	8.52073	3.36704	11.9071	3.53608	19.2549	0.00526137	97.2581	5.83049	6.70874	2.09648	0.119204	0.779437	0.624828	0.124011	16.0798	3.30746	0.0742598	0.0522454	8.00106	6.23936	22.9774	1.10823	28.1306	37.8771	0.119667	9.40867
2	8681.55	11.3583	3.16858	10.9843	4.15183	7.45121	0.0153161	96.1876	9.9813	6.45169	2.06519	0.258866	0.604873	0.697023	0.86237	16.7244	4.35238	0.254668	0.533463	1.74133	1.12833	21.07	0.840765	54.3313	6.91676	0.233337	8681.55
3	1430.61	13.7836	3.81686	11.3168	3.91394	11.4245	0.0156148	86.289	8.52766	7.23617	1.99127	0.294381	0.33567	0.646043	0.562573	17.0725	3.29356	0.383542	0.128717	2.40367	3.41723	24.1689	1.2172	49.8759	1.468	0.104744	1430.61
4	939.812	7.52009	2.74786	16.172	2.23867	7.98251	0.00523025	79.3577	12.2546	4.19639	1.82775	0.216999	0.450219	0.657889	0.916508	20.3318	4.27284	0.382236	0.095745	5.64847	3.76343	28.6697	0.244037	34.6492	0.381171	2.28416	939.812
5	2902.69	8.44398	2.475	16.2831	3.20711	11.6617	0.0224668	89.8327	9.69023	8.67495	2.39504	0.166591	0.496354	0.617152	0.480308	16.4023	5.43379	0.467446	0.2198	4.92997	3.52304	27.9498	1.11182	47.1884	0.543418	0.657234	2902.69
6	172.026	12.3157	3.90408	12.2938	5.05117	10.1394	0.0355334	80.5184	6.57761	9.64608	1.73457	0.412347	0.259303	0.601899	0.843789	19.9745	3.42186	0.611144	0.818217	5.2336	3.23598	46.1536	1.61074	70.5674	0.790183	2.32358	172.026
7	1078.86	9.22736	3.53543	10.1332	3.69386	6.558	0.0106246	82.426	11.0185	4.57473	2.76111	0.173113	0.866219	0.727251	0.730844	14.2023	7.89093	0.313194	0.109757	7.89793	12.9004	22.978	0.611138	48.5879	0.565277	27.7432	1078.86
8	150.961	13.8829	4.07887	10.3685	3.98396	16.459	0.00566991	64.3219	10.9331	4.72553	1.03374	0.37637	0.621589	0.744092	0.569524	20.6421	5.86891	0.385891	0.419848	5.78107	13.1206	47.2508	1.05574	39.6003	7.97468	0.980993	150.961
9	2834.51	14.4643	2.71449	11.5834	4.62509	13.0039	0.0152153	63.7784	9.29702	8.24261	1.2545	0.522469	0.625066	0.81622	0.768645	17.9103	4.52898	0.334897	0.653998	9.69301	6.72173	40.2188	0.559417	49.358	0.270266	37.9044	2834.51
10	1353.87	13.7572	2.56665	14.6146	4.65076	17.3857	0.0197249	96.5047	10.9594	8.79854	1.20551	0.472736	0.267178	0.688801	0.539198	18.0658	6.99125	0.1049	0.5626	8.27549	3.02371	29.7179	0.865021	31.3668	2.59313	0.139662	1353.87
11	616.043	13.4746	2.32519	14.1173	5.2303	16.4928	0.00497705	91.7463	8.80154	6.65575	1.55269	0.326485	0.684659	0.621769	0.627474	19.5954	4.54372	0.120241	0.473066	2.27943	7.81965	28.6358	0.405608	72.1059	13.029	1.39331	616.043
12	1822.9	10.8523	3.19241	12.9101	5.50046	12.3107	0.00667404	85.5508	10.1724	3.45708	1.8225	0.346102	0.598247	0.6891	0.784233	18.6231	5.48781	0.532433	0.124208	5.95947	8.75391	36.054	0.611923	35.6327	0.652468	0.73134	1822.9
13	27.1269	8.89351	2.64428	8.87706	3.74899	9.4944	0.0129062	98.3781	8.0323	3.71852	1.41512	0.565764	0.921078	0.695723	0.388419	18.3138	4.62498	0.466883	0.332156	11.0452	12.9896	36.2393	0.886595	27.9289	18.0752	9.40504	27.1269
14	475.174	8.33564	2.87602	16.7376	3.04451	7.52571	0.00482277	79.9305	2.48221	9.46224	1.87749	0.0447411	0.393609	0.726597	0.454626	17.4058	3.85067	0.238944	0.155589	6.55147	4.49632	42.2366	0.721947	25.2306	7.34539	12.1626	475.174
