Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	113.541	5.93587	6.2698	1.7431	0.45411	0.738696	0.555494	20.5533	4.81265	0.50281	0.231006	9.06954	8.8852	27.2716	0.737946	42.3138	13.5707	28.9485	16.6118
1	250.036	20.6372	2.44566	12.2541	3.0674	6.45466	0.0147603	126.528	13.6028	7.21916	1.68593	0.638663	0.619385	0.51824	21.7604	8.40429	0.136359	0.37813	7.15465	2.77081	25.9826	0.435046	32.961	16.6249	16.7727	250.036
2	45.8992	11.2537	1.89554	14.4291	5.45259	10.8133	0.00891338	67.4372	10.4485	3.22675	2.9818	0.687719	0.734434	0.302065	19.3472	4.80797	0.524034	0.277744	6.85205	8.12573	30.5135	0.911531	30.5499	8.34213	9.1104	45.8992
3	10.7521	9.7416	3.07034	11.6919	3.89734	12.1653	0.00584172	91.8247	8.62993	6.31588	2.12959	0.343981	0.809335	0.450297	21.1983	8.27798	0.198644	0.13848	10.2742	9.96297	30.4361	0.393558	39.8557	12.6164	20.4447	10.7521
4	383.748	20.0509	2.73766	10.3021	4.27417	7.12948	0.00442567	82.9477	8.5235	7.83194	1.43674	0.45609	0.604228	0.103592	17.1896	4.19708	0.441853	0.170077	3.66117	2.28453	44.0459	0.634301	47.35	8.57277	10.0969	383.748
5	5105.93	11.2712	3.52588	11.6696	5.15429	5.35214	0.00499002	90.1036	5.05371	4.51782	1.21626	0.314437	0.626727	0.177262	19.7937	4.39983	0.599002	0.3503	13.033	10.3079	35.7278	0.764158	51.3596	12.2988	17.2965	5105.93
6	148.428	13.5836	2.87794	9.60343	3.57876	7.52027	0.00879199	74.8268	4.0284	6.12495	1.98755	0.305843	0.623559	0.402728	19.6267	5.47841	0.252251	0.518051	1.76629	3.58229	23.6047	0.634888	30.3417	4.24766	17.4799	148.428
7	3717.8	8.67197	2.07638	10.4605	5.15814	19.8234	0.0231346	87.159	5.00471	5.56267	2.64386	0.516371	0.727415	0.495595	20.1937	8.21873	0.696876	0.565742	2.91334	7.47599	30.727	0.33019	31.3764	5.07228	18.83	3717.8
8	859.508	10.3947	2.08484	13.5739	3.89121	9.94347	0.0206291	110.556	5.74644	6.87515	1.93967	0.604187	0.727251	0.734238	16.8935	8.58401	0.573719	0.282069	12.9004	4.15634	27.134	0.685601	31.7886	7.78327	36.2556	859.508
9	297.646	17.6675	2.26149	19.5551	4.20238	8.44823	0.0460107	93.7764	6.74674	6.05476	2.53972	0.621516	0.712324	0.568615	18.313	8.8247	0.809036	0.376036	12.9485	5.72393	42.0282	0.334124	49.6335	8.99581	25.9377	297.646
10	3712.18	10.6398	3.09308	16.1946	5.0585	7.55226	0.0170016	102.426	8.13921	4.6771	2.82716	0.463746	0.674161	0.804009	22.0041	4.68307	0.789229	0.203968	7.76293	9.69301	41.7935	0.655247	48.4433	16.4337	8.58843	3712.18
11	1353.87	13.7572	2.56665	14.6146	4.65076	17.3857	0.0197249	105.959	10.7714	5.99317	2.56586	0.545488	0.650689	0.449937	21.4608	3.94713	0.453184	0.116351	9.16549	10.3684	30.4711	0.388576	49.4912	4.54795	9.17087	1353.87
12	5.54241	10.6442	3.00298	13.7274	2.08903	13.2225	0.0203925	124.589	8.80154	6.65575	1.55269	0.719538	0.877091	0.390054	17.7772	7.15269	0.138083	0.14168	13.2458	2.27943	31.0908	0.615381	30.5836	25.9922	16.2333	5.54241
13	1822.9	10.8523	3.19241	12.9101	5.50046	12.3107	0.00667404	121.724	1.86098	6.16016	2.68818	0.279027	0.631166	0.670444	19.5497	5.24475	0.768611	0.485159	4.64868	6.06125	29.9336	0.57084	28.4841	34.8456	8.89206	1822.9
14	5231.91	20.6837	3.84015	12.129	2.74449	6.39533	0.00648489	67.0533	4.90165	11.5629	2.99352	0.665752	0.674854	0.763495	18.4796	6.7209	0.114764	0.0704877	7.10632	7.95361	31.748	0.550551	45.5787	4.06053	22.2821	5231.91
15	21.9936	20.9058	2.59584	12.2121	3.63389	8.97144	0.00855587	102.298	6.80268	5.56547	1.30184	0.550164	0.839213	0.673419	21.6782	7.0582	0.33479	0.351078	8.19437	3.07664	29.5516	0.844666	30.4451	8.42863	14.6718	21.9936
16	199.034	11.1125	1.59605	17.2866	3.54396	10.4551	0.008232	142.413	4.33479	6.99983	1.82853	0.64503	0.606988	0.403526	16.7156	9.68149	0.821924	0.164203	3.87409	3.14631	26.8058	0.744809	44.3515	5.64876	11.9305	199.034
17	319.698	14.5307	2.94584	14.0021	3.4054	9.29384	0.0132728	91.0624	7.18425	8.69076	2.18199	0.376196	0.66131	0.191001	22.1095	5.06062	0.300639	0.13821	8.67471	1.90862	46.6904	0.452773	34.6974	8.53186	11.6288	319.698
18	2680.35	7.15547	3.52026	10.1222	4.51742	9.70804	0.0144845	61.8624	9.96613	8.66179	1.57359	0.689458	0.692065	0.235157	21.97	5.30562	0.387431	0.29314	7.26695	2.34447	40.4284	0.743934	51.9546	9.35999	15.2179	2680.35
19	3514	13.3615	2.70694	8.09421	4.77497	10.651	0.0032202	100.288	4.03119	6.3093	1.60807	0.412356	0.724787	0.406484	18.6234	6.95752	0.467814	0.121869	3.24302	5.3656	24.5454	0.834339	50.6554	31.4482	12.1522	3514
20	260.348	11.2474	3.28724	16.023	4.79145	13.7587	0.0102251	88.9044	11.8794	8.15624	2.86818	0.279916	0.621656	0.692529	18.1397	7.33852	0.76874	0.585028	6.14735	10.7148	23.1931	0.686934	34.3398	10.1735	25.2929	260.348
21	983.497	12.9053	1.55518	18.4678	3.34229	8.16992	0.00412457	96.9583	9.42755	5.75669	2.53284	0.377823	0.662441	0.398616	19.4676	5.41681	0.507367	0.282099	2.52003	2.91261	26.1727	0.662803	29.825	32.4893	39.5467	983.497
22	33.8093	20.4878	2.02115	18.0606	3.01286	7.91822	0.01079	145.298	8.67315	10.1753	2.12626	0.520007	0.779138	0.690253	19.0975	4.54198	0.523182	0.123017	10.6115	5.80086	30.4429	0.492129	36.4813	36.3742	16.2008	33.8093
23	238.069	13.9729	3.33151	19.961	4.45029	8.61041	0.0257675	60.8012	3.6342	7.18018	1.13383	0.660267	0.668721	0.40544	19.8564	5.03175	0.791247	0.305778	7.16915	10.0556	26.7234	0.877728	25.9427	5.57426	13.9606	238.069
24	100.006	12.233	2.97593	10.8968	4.2435	13.7254	0.0142736	80.3323	2.2653	8.38617	2.83805	0.655409	0.736873	0.321059	20.2981	6.08608	0.540516	0.335865	5.00404	5.36856	29.8208	0.822771	40.1616	5.69384	12.5114	100.006
25	3267.35	16.7619	2.4933	12.0107	2.87835	25.7953	0.0138128	113.772	3.16386	6.17711	2.24288	0.531463	0.75145	0.592581	21.2696	3.27353	0.863268	0.352121	12.2798	9.00168	41.7209	0.7035	40.1716	18.923	18.7721	3267.35
26	32	19.8473	3.7704	17.441	3.4444	10.4513	0.00832862	102.972	9.14049	6.33565	2.20515	0.754478	0.852898	0.673755	19.6156	7.69222	0.278652	0.154052	6.33309	11.4362	34.6335	0.716225	26.9186	19.3161	22.5524	32
27	5515.31	18.5512	3.67588	10.8917	4.57252	9.15367	0.0121282	61.5705	9.16975	5.93755	2.95764	0.481144	0.693902	0.716748	21.7802	7.524	0.486248	0.531973	3.15215	11.9247	35.8114	0.391948	32.6667	26.3335	23.1692	5515.31
28	87.0031	14.5488	3.43414	12.7239	2.98505	8.4094	0.015971	121.589	3.76893	8.4491	1.25665	0.313075	0.623682	0.211601	21.9155	4.21562	0.616735	0.148974	8.46829	5.61103	27.2435	0.582777	42.8156	26.0224	35.5521	87.0031
29	78.6922	14.0726	3.74908	14.9222	3.96252	12.5949	0.0116957	67.6982	9.19793	4.88334	1.07397	0.524466	0.762683	0.60513	21.7876	3.71217	0.108056	0.657877	5.83573	7.49635	36.0069	0.879006	39.9135	18.4117	20.8372	78.6922
