Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	113.541	5.93587	6.2698	1.7431	0.45411	0.738696	0.602385	22.4725	3.86823	0.50281	0.231006	9.06954	8.8852	27.7365	1.06135	43.9146	13.5707	28.9485	16.6118
1	250.036	20.6372	2.44566	12.2541	3.0674	6.45466	0.0147603	126.528	13.6028	7.21916	1.68593	0.638663	0.619385	0.560241	25.2235	2.43577	0.93024	0.0686265	9.67913	7.15465	26.1747	0.427191	33.3459	16.6249	16.7727	250.036
2	45.8992	11.2537	1.89554	14.4291	5.45259	10.8133	0.00891338	67.4372	10.4485	3.22675	2.9818	0.687719	0.734434	0.315688	19.7238	3.86577	0.524034	0.277744	6.85205	8.12573	31.6645	1.42477	30.6214	8.34213	9.1104	45.8992
3	10.7521	9.7416	3.07034	11.6919	3.89734	12.1653	0.00584172	91.8247	8.62993	6.31588	2.12959	0.343981	0.809335	0.483379	23.9425	5.69565	0.198644	0.13848	10.2742	9.96297	31.5707	0.340331	41.137	12.6164	20.4447	10.7521
4	383.748	20.0509	2.73766	10.3021	4.27417	7.12948	0.00442567	82.9477	8.5235	7.83194	1.43674	0.45609	0.604228	0.09116	16.8922	6.39965	0.521736	0.278216	2.28453	2.16603	48.0608	0.844353	49.6055	8.57277	10.0969	383.748
5	5105.93	11.2712	3.52588	11.6696	5.15429	5.35214	0.00499002	90.1036	5.05371	4.51782	1.21626	0.314437	0.626727	0.174501	20.7415	3.65054	0.599002	0.3503	13.033	10.3079	37.9823	1.11622	22.5029	19.1056	23.0427	5105.93
6	17.6369	11.9345	2.01041	14.7635	3.32069	8.42992	0.00614356	84.4278	5.48268	4.0284	1.98755	0.441663	0.602922	0.209957	16.241	6.14784	0.422443	0.460089	6.33437	1.76629	29.3789	0.441811	47.7442	4.24766	17.4799	17.6369
7	4158.63	10.2399	2.18171	18.7907	5.68764	16.3335	0.00936468	70.0471	5.56267	5.55809	2.93879	0.602093	0.697141	0.617661	25.234	6.00059	0.696876	0.104048	7.47599	2.20684	31.9231	0.492717	42.1635	5.28072	17.2144	4158.63
8	111.803	10.3947	2.98953	12.4561	3.98602	15.2742	0.0160791	77.4644	6.87515	8.56281	1.93967	0.554502	0.789281	0.202658	25.9917	3.1086	0.409986	0.167274	4.15634	5.56897	31.4916	0.513001	44.6103	16.8014	20.24	111.803
9	723.177	11.0231	2.88749	19.1446	3.1814	17.0161	0.011506	77.5234	13.6059	7.37764	1.05942	0.621516	0.712324	0.617228	17.3669	5.98396	0.809036	0.376036	12.9485	5.72393	45.6161	1.39097	47.7368	8.99581	25.9377	723.177
10	33.9519	19.1193	2.27481	18.2925	3.30761	13.6404	0.0133256	101.392	4.6771	7.2529	1.20149	0.671186	0.81622	0.845312	17.9003	4.01366	0.789229	0.724029	7.76293	9.69301	45.3317	0.888207	22.5155	16.4337	8.58843	33.9519
11	6987.65	7.35828	1.77797	14.6146	4.65076	17.3857	0.0197249	105.959	10.7714	5.99317	2.56586	0.545488	0.650689	0.482971	24.5408	3.41181	0.453184	0.116351	9.16549	10.3684	31.6131	1.61272	27.8158	9.97724	19.1811	6987.65
12	20.3091	18.1395	3.43735	18.1402	5.15297	12.7569	0.00923542	98.0119	1.71692	10.2931	1.8959	0.343538	0.751277	0.636035	18.7969	3.30395	0.767869	0.209594	8.38679	5.10953	34.4702	0.908157	47.0936	25.4736	13.6565	20.3091
13	19.364	8.25153	3.13661	18.6171	2.79746	7.56466	0.0156537	89.3525	6.30244	9.86959	2.14612	0.297898	0.739219	0.369973	19.1969	4.43232	0.15724	0.187154	2.93193	3.26001	24.6828	0.540674	33.3962	16.4082	24.9764	19.364
14	1016.83	11.9543	3.01291	18.0289	3.51915	11.4972	0.00281951	88.7168	5.97545	2.8537	2.9846	0.548217	0.649596	0.706457	18.2294	4.19726	0.640847	0.238858	5.02519	6.76489	33.2555	1.60193	48.7352	4.33389	10.8061	1016.83
15	7797.05	17.7086	3.27117	15.4493	2.72915	8.77196	0.0129833	106.068	7.68183	3.442	2.86868	0.308902	0.629893	0.234745	30.7411	5.56739	0.238412	0.182246	3.78148	2.01533	30.7994	1.27377	30.7897	25.3138	15.5161	7797.05
16	57.8177	8.2316	4.07045	13.4827	4.7718	7.82007	0.00553441	78.8828	7.96778	8.30544	1.29979	0.400948	0.705877	0.188335	24.6899	4.68055	0.203898	0.165557	7.30443	10.3456	41.2344	1.05022	34.3051	6.06764	15.1688	57.8177
17	31.5768	9.8676	2.66253	8.72468	2.36273	8.45064	0.0224185	100.408	7.92838	4.23965	1.1597	0.393948	0.742819	0.210335	16.4471	5.48353	0.412133	0.700982	1.59065	10.0197	30.0846	1.17998	30.7015	19.0251	29.7667	31.5768
18	153.151	12.5108	2.4935	17.7365	3.92065	6.57501	0.00407129	130.684	10.0515	6.37377	2.52788	0.545932	0.858768	0.784951	20.5867	2.27958	0.650478	0.102725	2.19917	10.2188	28.3769	1.40116	43.9081	26.837	34.8033	153.151
19	104.434	9.17572	3.50448	14.7146	3.0104	9.10874	0.00738044	108.752	6.07459	7.7436	1.92158	0.42547	0.658086	0.670904	18.4147	5.2897	0.370966	0.836603	11.3997	5.73017	35.4546	0.629453	46.91	10.8073	30.9632	104.434
20	4023.54	12.3591	3.51733	12.8174	5.62646	11.6914	0.00466381	66.4968	9.19531	5.11982	2.06835	0.617072	0.685476	0.83635	26.8131	4.15702	0.517945	0.26358	4.72834	4.31164	48.9902	0.913444	45.0051	12.2702	18.5552	4023.54
21	25.8538	9.16472	3.75297	14.1597	4.80918	8.45321	0.00628049	107.062	5.16735	5.87324	1.86607	0.466939	0.717428	0.560037	17.9162	4.3744	0.736763	0.126119	4.69678	7.55299	48.8455	1.1914	53.2602	14.6282	18.6627	25.8538
22	1259.03	10.5806	3.51728	10.4648	2.97693	12.5889	0.0192587	80.1794	8.80062	6.18674	1.13822	0.429627	0.63767	0.521338	23.2247	2.84374	0.286644	0.897631	3.21635	7.29756	32.4872	0.604802	50.3551	17.2574	8.50711	1259.03
23	486.638	17.2957	3.82692	19.8663	5.37955	10.1407	0.0143652	78.577	9.66461	2.7828	1.28825	0.300005	0.709734	0.619292	17.3649	5.58033	0.387179	0.252961	9.64254	11.9953	34.4099	0.571383	44.6857	12.9645	12.7992	486.638
24	1183.24	13.2491	3.23224	10.5787	3.61718	10.0105	0.015739	90.4849	5.5732	4.77344	1.37732	0.502874	0.845348	0.485027	32.7099	5.03911	0.623304	0.432984	9.1238	7.80647	35.837	1.08717	49.3973	18.3577	10.5484	1183.24
25	1348.04	7.61	2.3749	11.5463	4.9884	13.8927	0.0216682	128.147	8.08852	11.4261	1.4281	0.529361	0.734355	0.501088	22.2825	5.91646	0.219806	0.462714	11.4784	6.00392	33.2108	0.726309	29.7473	17.5786	21.6626	1348.04
26	4563.38	9.01535	2.90522	14.1518	4.71354	11.367	0.00904727	111.245	8.79463	7.60287	2.28021	0.715166	0.837409	0.509281	21.0639	5.75288	0.954727	0.186641	6.71028	12.4032	39.9605	1.24064	50.9702	5.53338	21.4447	4563.38
27	9424.88	15.0267	3.33092	7.24491	4.76852	13.521	0.00441674	68	8.57096	10.1127	2.36422	0.254484	0.79063	0.526819	18.0313	5.32187	0.634978	0.674458	13.9398	4.50908	30.4345	0.976527	46.3962	32.9128	18.6675	9424.88
28	3567.35	13.3031	2.65111	11.418	3.63309	19.0922	0.0121551	122.657	3.47629	8.58763	2.47558	0.576888	0.696252	0.0137145	23.3214	4.71508	0.329059	0.149333	13.4194	3.93448	29.8994	0.723407	38.3344	39.0023	22.3506	3567.35
29	1255.55	12.0717	3.49918	17.9636	5.70721	11.6669	0.0132438	107.467	9.16465	7.7122	1.57341	0.313577	0.725821	0.679727	18.566	4.85672	0.633015	0.379796	8.07572	7.5941	34.4035	1.15918	42.5712	14.6309	34.192	1255.55
30	157.141	14.4433	2.62844	15.4972	4.56401	7.07346	0.0148687	110.824	4.30598	3.9245	2.23099	0.579209	0.815781	0.60714	21.7626	3.60192	0.851245	0.436925	6.20655	1.53224	30.4569	0.723733	50.944	37.7987	30.9265	157.141
31	328.472	11.2435	3.51552	18.3457	4.38112	12.4816	0.00218153	117.159	10.9467	5.02105	2.23523	0.258612	0.650504	0.108835	17.1071	4.06239	0.938115	0.323774	4.0799	7.49527	44.0188	0.577954	29.3522	5.926	38.7136	328.472
32	2853.6	14.2119	3.05681	12.1137	5.11189	13.3395	0.0470838	102.949	9.21707	9.79325	1.12948	0.714704	0.791708	0.603693	19.6673	3.04982	0.702988	0.121534	8.26893	5.71977	34.7878	0.76659	44.9747	17.1445	9.45312	2853.6
