Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	N_pos	79	60	40.9295
1_1	1	N_pos	80	51	56.6501
1_1	1	N_pos	81	110	77.2025
1_1	1	N_pos	82	30	103.415
1_1	1	N_pos	83	18	135.982
1_1	1	N_pos	84	58	175.364
1_1	1	N_pos	85	564	221.695
1_1	1	N_pos	86	422	274.727
1_1	1	N_pos	87	335	333.8
1_1	1	N_pos	88	321	397.871
1_1	1	N_pos	89	500	465.667
1_1	1	N_pos	90	325	535.618
1_1	1	N_pos	91	389	606.142
1_1	1	N_pos	92	731	675.737
1_1	1	N_pos	93	672	742.959
1_1	1	N_pos	94	661	806.624
1_1	1	N_pos	95	780	865.765
1_1	1	N_pos	96	702	919.71
1_1	1	N_pos	97	464	967.989
1_1	1	N_pos	98	986	1010.4
1_1	1	N_pos	99	1091	1046.92
1_1	1	N_pos	100	877	1077.7
1_1	1	N_pos	101	1441	1102.98
1_1	1	N_pos	102	890	1123.13
1_1	1	N_pos	103	923	1138.56
1_1	1	N_pos	104	422	1149.72
1_1	1	N_pos	105	718	1157.03
1_1	1	N_pos	106	868	1160.94
1_1	1	N_pos	107	963	1162.01
1_1	1	N_pos	108	916	1161.21
1_1	1	N_pos	109	889	1159.16
1_1	1	N_pos	110	663	1156.19
1_1	1	N_pos	111	535	1152.59
1_1	1	N_pos	112	738	1148.62
1_1	1	N_pos	113	873	1144.48
1_1	1	N_pos	114	875	1140.32
1_1	1	N_pos	115	862	1136.28
1_1	1	N_pos	116	967	1132.46
1_1	1	N_pos	117	858	1128.96
1_1	1	N_pos	118	666	1125.85
1_1	1	N_pos	119	874	1123.21
1_1	1	N_pos	120	883	1121.09
1_1	1	N_pos	121	1033	1119.52
1_1	1	N_pos	122	1142	1118.57
1_1	1	N_pos	123	1293	1118.26
1_1	1	N_pos	124	1026	1118.62
1_1	1	N_pos	125	784	1119.68
1_1	1	N_pos	126	1037	1121.45
1_1	1	N_pos	127	1053	1123.96
1_1	1	N_pos	128	968	1127.23
1_1	1	N_pos	129	1219	1131.26
1_1	1	N_pos	130	1251	1136.08
1_1	1	N_pos	131	1009	1141.71
1_1	1	N_pos	132	1000	1148.15
1_1	1	N_pos	133	1179	1155.42
1_1	1	N_pos	134	1355	1163.56
1_1	1	N_pos	135	1448	1172.55
1_1	1	N_pos	136	1347	1182.43
1_1	1	N_pos	137	1801	1193.22
1_1	1	N_pos	138	785	1204.93
1_1	1	N_pos	139	909	1217.6
1_1	1	N_pos	140	1219	1231.24
1_1	1	N_pos	141	1411	1245.88
1_1	1	N_pos	142	945	1261.55
1_1	1	N_pos	143	1181	1278.28
1_1	1	N_pos	144	1060	1296.1
1_1	1	N_pos	145	839	1315.06
1_1	1	N_pos	146	623	1335.17
1_1	1	N_pos	147	589	1356.48
1_1	1	N_pos	148	1361	1379.03
1_1	1	N_pos	149	1855	1402.87
1_1	1	N_pos	150	1230	1428.04
1_1	1	N_pos	151	1332	1454.6
1_1	1	N_pos	152	1949	1482.6
1_1	1	N_pos	153	593	1512.1
1_1	1	N_pos	154	1688	1543.14
1_1	1	N_pos	155	1703	1575.81
1_1	1	N_pos	156	1649	1610.16
1_1	1	N_pos	157	1693	1646.27
1_1	1	N_pos	158	1940	1684.21
1_1	1	N_pos	159	1425	1724.05
1_1	1	N_pos	160	638	1765.88
1_1	1	N_pos	161	1637	1809.81
1_1	1	N_pos	162	2504	1855.9
1_1	1	N_pos	163	1826	1904.26
1_1	1	N_pos	164	2097	1955
1_1	1	N_pos	165	2331	2008.23
1_1	1	N_pos	166	1843	2064.04
1_1	1	N_pos	167	1254	2122.58
1_1	1	N_pos	168	4098	2183.99
1_1	1	N_pos	169	3129	2248.1
1_1	1	N_pos	170	3516	2314.11
1_1	1	N_pos	171	3454	2381.7
1_1	1	N_pos	172	4430	2450.86
1_1	1	N_pos	173	-1	2521.57
1_1	1	N_pos	174	-1	2593.83
1_1	1	N_pos	175	-1	2667.66
1_1	1	N_pos	176	-1	2743.06
1_1	1	N_pos	177	-1	2820.1
1_1	1	N_pos	178	-1	2898.77
1_1	1	N_pos	179	-1	2979.12
1_1	1	N_pos	180	-1	3061.13
1_1	1	N_pos	181	-1	3144.84
1_1	1	N_pos	182	-1	3230.26
1_1	1	N_pos	183	-1	3317.38
1_1	1	N_pos	184	-1	3406.2
1_1	1	N_pos	185	-1	3496.73
1_1	1	N_pos	186	-1	3588.95
1_1	1	N_pos	187	-1	3682.87
1_1	1	N_pos	188	-1	3778.47
1_1	1	N_pos	189	-1	3875.73
1_1	1	N_pos	190	-1	3974.66
1_1	1	N_pos	191	-1	4075.18
1_1	1	N_pos	192	-1	4177.33
1_1	1	N_pos	193	-1	4281.06
1_1	1	N_pos	194	-1	4386.34
1_1	1	N_pos	195	-1	4493.14
1_1	1	N_pos	196	-1	4601.42
1_1	1	N_pos	197	-1	4711.13
1_1	1	N_pos	198	-1	4822.26
1_1	1	N_pos	199	-1	4934.72
1_1	1	N_pos	200	-1	5048.49
1_1	1	N_pos	201	-1	5163.5
1_1	1	N_pos	202	-1	5279.7
1_1	1	N_pos	203	-1	5397.02
1_1	1	N_pos	204	-1	5515.42
1_1	1	N_pos	205	-1	5634.79
1_1	1	N_pos	206	-1	5755.06
1_1	1	N_pos	207	-1	5876.17
1_1	1	N_pos	208	-1	5998.05

1_1	1	p_N_pos	79		0.850292
1_1	1	p_N_pos	80		0.887148
1_1	1	p_N_pos	81		0.914626
1_1	1	p_N_pos	82		0.934856
1_1	1	p_N_pos	83		0.949672
1_1	1	p_N_pos	84		0.960529
1_1	1	p_N_pos	85		0.968518
1_1	1	p_N_pos	86		0.97444
1_1	1	p_N_pos	87		0.978867
1_1	1	p_N_pos	88		0.98221
1_1	1	p_N_pos	89		0.984761
1_1	1	p_N_pos	90		0.986724
1_1	1	p_N_pos	91		0.988251
1_1	1	p_N_pos	92		0.989448
1_1	1	p_N_pos	93		0.990394
1_1	1	p_N_pos	94		0.991145
1_1	1	p_N_pos	95		0.991745
1_1	1	p_N_pos	96		0.992225
1_1	1	p_N_pos	97		0.99261
1_1	1	p_N_pos	98		0.992918
1_1	1	p_N_pos	99		0.993164
1_1	1	p_N_pos	100		0.993358
1_1	1	p_N_pos	101		0.993509
1_1	1	p_N_pos	102		0.993625
1_1	1	p_N_pos	103		0.99371
1_1	1	p_N_pos	104		0.993771
1_1	1	p_N_pos	105		0.99381
1_1	1	p_N_pos	106		0.993831
1_1	1	p_N_pos	107		0.993837
1_1	1	p_N_pos	108		0.993832
1_1	1	p_N_pos	109		0.993822
1_1	1	p_N_pos	110		0.993806
1_1	1	p_N_pos	111		0.993787
1_1	1	p_N_pos	112		0.993765
1_1	1	p_N_pos	113		0.993743
1_1	1	p_N_pos	114		0.99372
1_1	1	p_N_pos	115		0.993698
1_1	1	p_N_pos	116		0.993677
1_1	1	p_N_pos	117		0.993657
1_1	1	p_N_pos	118		0.99364
1_1	1	p_N_pos	119		0.993625
1_1	1	p_N_pos	120		0.993613
1_1	1	p_N_pos	121		0.993604
1_1	1	p_N_pos	122		0.993599
1_1	1	p_N_pos	123		0.993597
1_1	1	p_N_pos	124		0.993599
1_1	1	p_N_pos	125		0.993605
1_1	1	p_N_pos	126		0.993615
1_1	1	p_N_pos	127		0.993629
1_1	1	p_N_pos	128		0.993648
1_1	1	p_N_pos	129		0.99367
1_1	1	p_N_pos	130		0.993697
1_1	1	p_N_pos	131		0.993728
1_1	1	p_N_pos	132		0.993763
1_1	1	p_N_pos	133		0.993802
1_1	1	p_N_pos	134		0.993845
1_1	1	p_N_pos	135		0.993892
1_1	1	p_N_pos	136		0.993942
1_1	1	p_N_pos	137		0.993997
1_1	1	p_N_pos	138		0.994055
1_1	1	p_N_pos	139		0.994116
1_1	1	p_N_pos	140		0.994181
1_1	1	p_N_pos	141		0.994249
1_1	1	p_N_pos	142		0.99432
1_1	1	p_N_pos	143		0.994394
1_1	1	p_N_pos	144		0.994471
1_1	1	p_N_pos	145		0.99455
1_1	1	p_N_pos	146		0.994632
1_1	1	p_N_pos	147		0.994716
1_1	1	p_N_pos	148		0.994802
1_1	1	p_N_pos	149		0.994889
1_1	1	p_N_pos	150		0.994979
1_1	1	p_N_pos	151		0.99507
1_1	1	p_N_pos	152		0.995163
1_1	1	p_N_pos	153		0.995257
1_1	1	p_N_pos	154		0.995352
1_1	1	p_N_pos	155		0.995448
1_1	1	p_N_pos	156		0.995544
1_1	1	p_N_pos	157		0.995642
1_1	1	p_N_pos	158		0.995739
1_1	1	p_N_pos	159		0.995838
1_1	1	p_N_pos	160		0.995936
1_1	1	p_N_pos	161		0.996034
1_1	1	p_N_pos	162		0.996132
1_1	1	p_N_pos	163		0.99623
1_1	1	p_N_pos	164		0.996327
1_1	1	p_N_pos	165		0.996424
1_1	1	p_N_pos	166		0.996521
1_1	1	p_N_pos	167		0.996616
1_1	1	p_N_pos	168		0.996711
1_1	1	p_N_pos	169		0.996805
1_1	1	p_N_pos	170		0.996896
1_1	1	p_N_pos	171		0.996983
1_1	1	p_N_pos	172		0.997068
1_1	1	p_N_pos	173		0.99715
1_1	1	p_N_pos	174		0.997229
1_1	1	p_N_pos	175		0.997306
1_1	1	p_N_pos	176		0.99738
1_1	1	p_N_pos	177		0.997451
1_1	1	p_N_pos	178		0.99752
1_1	1	p_N_pos	179		0.997587
1_1	1	p_N_pos	180		0.997651
1_1	1	p_N_pos	181		0.997714
1_1	1	p_N_pos	182		0.997774
1_1	1	p_N_pos	183		0.997832
1_1	1	p_N_pos	184		0.997889
1_1	1	p_N_pos	185		0.997943
1_1	1	p_N_pos	186		0.997996
1_1	1	p_N_pos	187		0.998047
1_1	1	p_N_pos	188		0.998096
1_1	1	p_N_pos	189		0.998144
1_1	1	p_N_pos	190		0.99819
1_1	1	p_N_pos	191		0.998235
1_1	1	p_N_pos	192		0.998278
1_1	1	p_N_pos	193		0.99832
1_1	1	p_N_pos	194		0.99836
1_1	1	p_N_pos	195		0.998399
1_1	1	p_N_pos	196		0.998436
1_1	1	p_N_pos	197		0.998473
1_1	1	p_N_pos	198		0.998508
1_1	1	p_N_pos	199		0.998542
1_1	1	p_N_pos	200		0.998575
1_1	1	p_N_pos	201		0.998606
1_1	1	p_N_pos	202		0.998637
1_1	1	p_N_pos	203		0.998667
1_1	1	p_N_pos	204		0.998695
1_1	1	p_N_pos	205		0.998723
1_1	1	p_N_pos	206		0.998749
1_1	1	p_N_pos	207		0.998775
1_1	1	p_N_pos	208		0.9988

1_1	1	D_pos	79	1	2.00255
1_1	1	D_pos	80	2	2.30149
1_1	1	D_pos	81	0	2.6342
1_1	1	D_pos	82	0	3.0058
1_1	1	D_pos	83	3	3.41781
1_1	1	D_pos	84	1	3.87305
1_1	1	D_pos	85	3	4.37698
1_1	1	D_pos	86	6	4.92548
1_1	1	D_pos	87	5	5.52745
1_1	1	D_pos	88	4	6.18661
1_1	1	D_pos	89	7	6.89547
1_1	1	D_pos	90	0	7.66227
1_1	1	D_pos	91	7	8.48279
1_1	1	D_pos	92	17	9.3535
1_1	1	D_pos	93	12	10.2696
1_1	1	D_pos	94	20	11.2222
1_1	1	D_pos	95	15	12.2042
1_1	1	D_pos	96	22	13.2043
1_1	1	D_pos	97	13	14.2113
1_1	1	D_pos	98	14	15.214
1_1	1	D_pos	99	23	16.2008
1_1	1	D_pos	100	22	17.1611
1_1	1	D_pos	101	27	18.085
1_1	1	D_pos	102	28	18.9629
1_1	1	D_pos	103	17	19.7867
1_1	1	D_pos	104	16	20.5555
1_1	1	D_pos	105	31	21.2587
1_1	1	D_pos	106	46	21.8979
1_1	1	D_pos	107	29	22.469
1_1	1	D_pos	108	35	22.9725
1_1	1	D_pos	109	25	23.4104
1_1	1	D_pos	110	24	23.7874
1_1	1	D_pos	111	18	24.1081
1_1	1	D_pos	112	22	24.3806
1_1	1	D_pos	113	26	24.6072
1_1	1	D_pos	114	18	24.7959
1_1	1	D_pos	115	32	24.951
1_1	1	D_pos	116	30	25.076
1_1	1	D_pos	117	25	25.1756
1_1	1	D_pos	118	15	25.2553
1_1	1	D_pos	119	27	25.3174
1_1	1	D_pos	120	42	25.3657
1_1	1	D_pos	121	50	25.4034
1_1	1	D_pos	122	34	25.4336
1_1	1	D_pos	123	31	25.4591
1_1	1	D_pos	124	20	25.4822
1_1	1	D_pos	125	17	25.5052
1_1	1	D_pos	126	22	25.5301
1_1	1	D_pos	127	42	25.5588
1_1	1	D_pos	128	25	25.593
1_1	1	D_pos	129	31	25.6341
1_1	1	D_pos	130	45	25.6838
1_1	1	D_pos	131	39	25.7428
1_1	1	D_pos	132	12	25.8126
1_1	1	D_pos	133	33	25.8945
1_1	1	D_pos	134	25	25.9889
1_1	1	D_pos	135	58	26.0973
1_1	1	D_pos	136	56	26.2199
1_1	1	D_pos	137	33	26.3577
1_1	1	D_pos	138	31	26.5115
1_1	1	D_pos	139	11	26.6819
1_1	1	D_pos	140	22	26.8701
1_1	1	D_pos	141	50	27.0762
1_1	1	D_pos	142	21	27.3011
1_1	1	D_pos	143	40	27.5459
1_1	1	D_pos	144	26	27.81
1_1	1	D_pos	145	0	28.0957
1_1	1	D_pos	146	21	28.4019
1_1	1	D_pos	147	9	28.7305
1_1	1	D_pos	148	26	29.0826
1_1	1	D_pos	149	39	29.4583
1_1	1	D_pos	150	25	29.8583
1_1	1	D_pos	151	0	30.284
1_1	1	D_pos	152	46	30.7359
1_1	1	D_pos	153	6	31.2152
1_1	1	D_pos	154	20	31.7234
1_1	1	D_pos	155	36	32.2602
1_1	1	D_pos	156	33	32.8269
1_1	1	D_pos	157	21	33.4259
1_1	1	D_pos	158	31	34.058
1_1	1	D_pos	159	11	34.7235
1_1	1	D_pos	160	0	35.4248
1_1	1	D_pos	161	23	36.1633
1_1	1	D_pos	162	32	36.9411
1_1	1	D_pos	163	35	37.7581
1_1	1	D_pos	164	19	38.6168
1_1	1	D_pos	165	18	39.5187
1_1	1	D_pos	166	19	40.4677
1_1	1	D_pos	167	7	41.4624
1_1	1	D_pos	168	46	42.5074
1_1	1	D_pos	169	33	43.6044
