Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	113.541	5.93587	6.2698	1.7431	0.45411	0.738696	0.491291	18.871	3.58875	0.50281	0.231006	9.06954	8.8852	18.8341	0.453968	30.8839	38.5653	14.8471	16.6118
1	261.523	11.6046	2.17257	7.60148	4.56173	6.55555	0.0232561	92.1916	9.07995	3.87697	2.06183	0.398162	0.792722	0.0617035	19.8427	4.5371	0.136359	0.255523	2.77081	5.04516	3.20196	0.640066	28.0204	16.6249	16.7727	261.523
2	45.8992	11.2537	1.89554	14.4291	5.45259	10.8133	0.00891338	67.4372	10.4485	3.22675	2.9818	0.687719	0.734434	0.238841	18.0221	3.58702	0.524034	0.277744	6.85205	8.12573	28.0222	0.380148	76.8005	8.34213	9.1104	45.8992
3	550.738	12.035	2.81012	15.417	3.22447	10.2497	0.0145731	83.1588	4.65972	4.10089	1.86569	0.637194	0.795234	0.210142	18.3649	4.20027	0.400184	0.443588	9.96297	7.39259	25.6696	0.440004	36.1117	36.3048	17.9696	550.738
4	619.253	15.2149	2.24912	7.11984	3.76492	12.2864	0.0121194	83.4134	6.18198	6.41872	1.62728	0.293095	0.635823	0.478804	17.8718	3.95006	0.521736	0.0815904	2.16603	3.69434	22.6187	0.365998	68.4536	37.1262	29.0473	619.253
5	5105.93	11.2712	3.52588	11.6696	5.15429	5.35214	0.00499002	90.1036	5.05371	4.51782	1.21626	0.314437	0.626727	0.114519	18.3364	3.43556	0.599002	0.3503	13.033	10.3079	2.71945	0.337539	68.4152	19.1056	23.0427	5105.93
6	17.6369	11.9345	2.01041	14.7635	3.32069	8.42992	0.00614356	84.4278	5.48268	4.0284	1.98755	0.441663	0.602922	0.14574	16.9464	5.19292	0.422443	0.460089	6.33437	1.76629	3.86777	0.405276	20.6601	4.24766	17.4799	17.6369
7	3717.8	8.67197	2.07638	10.4605	5.15814	19.8234	0.0231346	87.159	5.00471	5.56267	2.64386	0.516371	0.727415	0.431623	18.6179	4.85273	0.696876	0.565742	2.91334	7.47599	28.6272	0.384605	49.9472	5.28072	17.2144	3717.8
8	111.803	10.3947	2.98953	12.4561	3.98602	15.2742	0.0160791	77.4644	6.87515	8.56281	1.93967	0.554502	0.789281	0.139313	19.9579	3.0542	0.409986	0.167274	4.15634	5.56897	27.6177	0.494869	24.7261	6.50551	39.7343	111.803
9	297.646	17.6675	2.26149	19.5551	4.20238	8.44823	0.0460107	93.7764	6.74674	6.05476	2.53972	0.621516	0.712324	0.504361	17.2941	5.0776	0.809036	0.376036	12.9485	5.72393	60.6566	0.522558	84.4659	9.61984	12.5967	297.646
