Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	113.541	5.93587	6.2698	1.7431	0.45411	0.738696	0.458048	17.9833	4.21435	0.50281	0.231006	9.06954	8.8852	32.143	0.480822	50.7782	13.5707	28.9485	16.6118
1	250.036	20.6372	2.44566	12.2541	3.0674	6.45466	0.0147603	126.528	13.6028	7.21916	1.68593	0.638663	0.619385	0.42324	18.8485	2.87739	0.93024	0.0686265	9.67913	7.15465	29.4628	0.318265	36.4249	34.0115	11.4479	250.036
2	45.8992	11.2537	1.89554	14.4291	5.45259	10.8133	0.00891338	67.4372	10.4485	3.22675	2.9818	0.687719	0.734434	0.221254	17.1188	4.21205	0.524034	0.277744	6.85205	8.12573	38.8835	0.601224	33.6028	8.34213	9.1104	45.8992
3	10.7521	9.7416	3.07034	11.6919	3.89734	12.1653	0.00584172	91.8247	8.62993	6.31588	2.12959	0.343981	0.809335	0.359756	18.4456	5.91994	0.198644	0.13848	10.2742	9.96297	38.7226	0.430649	46.8693	7.76425	9.04664	10.7521
4	1008.41	15.2149	3.36257	8.82767	2.82397	9.09086	0.0142191	98.3194	6.34134	6.18198	1.62728	0.461248	0.635823	0.765664	17.5576	4.46781	0.521736	0.24639	2.28453	2.16603	67.0202	0.408932	58.131	8.57277	10.0969	1008.41
5	5105.93	11.2712	3.52588	11.6696	5.15429	5.35214	0.00499002	90.1036	5.05371	4.51782	1.21626	0.314437	0.626727	0.104642	17.4389	4.01117	0.599002	0.3503	13.033	10.3079	49.7251	0.499003	23.1134	19.1056	23.0427	5105.93
6	17.6369	11.9345	2.01041	14.7635	3.32069	8.42992	0.00614356	84.4278	5.48268	4.0284	1.98755	0.441663	0.602922	0.133927	16.0234	6.34198	0.422443	0.460089	6.33437	1.76629	34.9613	0.275569	55.7262	4.24766	17.4799	17.6369
7	4158.63	10.2399	2.18171	18.7907	5.68764	16.3335	0.00936468	70.0471	5.56267	5.55809	2.93879	0.602093	0.697141	0.470666	18.8518	6.20455	0.696876	0.104048	7.47599	2.20684	39.3274	0.292435	48.5156	5.28072	17.2144	4158.63
8	111.803	10.3947	2.98953	12.4561	3.98602	15.2742	0.0160791	77.4644	6.87515	8.56281	1.93967	0.554502	0.789281	0.127898	15.6901	3.98956	0.409986	0.148441	5.56897	7.35128	42.3215	0.410057	39.716	27.8467	17.7602	111.803
9	151.844	8.19434	3.9226	13.6294	3.91558	8.8007	0.015237	93.6971	7.76001	5.34291	2.29432	0.546913	0.689348	0.360443	16.6032	5.62947	0.577863	0.443958	3.91958	2.52839	41.5586	0.537144	37.2912	25.2433	8.8358	151.844
10	5830.05	8.05029	3.22308	13.4215	4.85593	9.29138	0.00836018	124.866	10.0953	5.64422	1.00203	0.441283	0.738933	0.497218	15.7491	5.4839	0.600769	0.346179	6.72173	1.53695	51.5848	0.354128	49.1615	5.86141	39.4259	5830.05
11	1353.87	13.7572	2.56665	14.6146	4.65076	17.3857	0.0197249	105.959	10.7714	5.99317	2.56586	0.545488	0.650689	0.35942	18.6337	3.78835	0.453184	0.116351	9.16549	10.3684	38.7953	0.663493	29.9779	9.97724	19.1811	1353.87
12	20.3091	18.1395	3.43735	18.1402	5.15297	12.7569	0.00923542	98.0119	1.71692	10.2931	1.8959	0.343538	0.751277	0.485841	16.8273	3.68769	0.767869	0.209594	8.38679	5.10953	43.6981	0.43007	54.8855	25.4736	13.6565	20.3091
13	19.364	8.25153	3.13661	18.6171	2.79746	7.56466	0.0156537	89.3525	6.30244	9.86959	2.14612	0.297898	0.739219	0.26609	16.9531	4.74083	0.15724	0.187154	2.93193	3.26001	62.9523	0.568088	47.5058	12.2801	14.7249	19.364
14	1395.59	10.1916	3.1684	7.53087	3.95723	8.70687	0.0038366	90.6524	7.55277	7.72325	1.55888	0.399192	0.661005	0.370864	16.6886	4.38271	0.084631	0.297471	11.0452	12.9896	45.3944	0.512848	28.8455	29.4769	27.113	1395.59
15	475.174	8.33564	2.87602	16.7376	3.04451	7.52571	0.00482277	63.5708	1.98479	9.57198	2.02389	0.408792	0.671931	0.0188824	15.8164	4.71993	0.72792	0.0621013	2.96785	5.73465	39.022	0.558804	38.5459	28.614	34.0115	475.174
16	140.121	10.7924	3.15162	15.1757	3.55077	7.76171	0.00709434	91.7631	3.36862	9.48014	1.14121	0.463877	0.740847	0.41757	17.4026	5.43012	0.485502	0.191193	3.03717	2.80247	32.2854	0.293624	23.4958	22.8845	38.4695	140.121
17	384.429	13.5125	3.14138	8.39942	3.46974	11.896	0.00455216	68.232	9.38561	11.4624	1.00826	0.234472	0.642445	0.534215	17.178	5.39348	0.674771	0.130496	1.58316	13.4977	36.067	0.654051	44.3523	23.2274	19.6921	384.429
18	1696.92	13.5859	2.94212	19.577	4.31887	16.2372	0.00410901	106.374	6.25747	9.95221	2.41932	0.546161	0.715556	0.0133838	17.8727	3.4731	0.711117	0.743732	1.10231	5.40654	30.3585	0.504155	32.2657	18.0839	17.1557	1696.92
19	4483.63	10.6773	4.25924	9.7484	5.59166	21.7845	0.0162853	121.966	6.13367	8.42634	2.55889	0.736409	0.676301	0.555315	18.6217	5.71159	0.685814	0.255628	4.53351	10.5029	53.6442	0.446685	45.2796	11.2376	30.7382	4483.63
20	4113.15	11.0619	2.95952	10.1699	5.5906	7.53168	0.0362514	89.7832	7.98365	2.23757	1.49053	0.718711	0.723194	0.604822	16.6079	3.87448	0.889656	0.370805	6.24217	7.89878	64.7686	0.442478	25.8808	11.8628	8.33472	4113.15
