Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	113.541	5.93587	6.2698	1.7431	0.45411	0.738696	0.486859	18.681	5.49687	0.422138	0.189293	4.61189	4.67467	37.8529	0.569222	41.8768	27.0589	8.24028	16.6118
1	709.288	9.44332	3.33815	7.79273	5.21761	24.4099	0.0105194	110.799	3.87697	5.47244	2.06183	0.685443	0.800168	0.58385	17.5464	4.42543	0.578297	0.23373	4.29738	4.15726	40.3809	0.857664	51.2534	4.79843	15.4045	709.288
2	55.2394	20.7911	3.63211	14.7217	3.22419	9.56959	0.00756213	94.5548	4.82318	8.84514	2.56389	0.493836	0.721514	0.458723	16.7581	3.82996	0.194627	0.0638794	9.78622	4.08921	38.5854	0.659442	48.5177	14.6843	17.2195	55.2394
3	165.923	11.2621	3.43506	17.7617	3.11295	10.4162	0.0118295	114.819	4.44326	11.4437	2.39936	0.601844	0.707872	0.148665	18.0795	4.29707	0.33567	0.171993	8.46506	3.92554	36.2241	0.651708	51.8025	6.61344	9.45256	165.923
4	603.181	9.87969	2.09307	9.79117	5.47382	10.6455	0.00870462	89.3704	6.91912	6.41484	1.13047	0.626879	0.644426	0.206978	16.7907	5.55628	0.506035	0.84857	11.4354	12.208	34.7745	0.482995	57.5029	9.66084	13.391	603.181
5	1007.99	10.7153	2.25463	11.6347	3.1652	6.86467	0.00601763	92.4945	5.31231	8.45999	1.24683	0.644473	0.754177	0.739212	19.3734	4.81355	0.683388	0.368138	2.07596	3.94185	37.8743	0.292372	52.2926	11.3156	14.1282	1007.99
6	379.105	7.50582	2.35177	8.04733	3.70832	16.0065	0.00986074	60.8765	3.59	4.70678	2.0285	0.757457	0.685875	0.695587	18.1485	4.12773	0.531318	0.888336	4.1142	6.32996	30.3927	0.665322	49.9093	6.26644	24.8818	379.105
7	346.106	10.2399	3.80335	19.0503	3.9053	7.63629	0.0071742	75.5809	8.53139	7.24556	2.97756	0.554829	0.792919	0.726841	18.6437	4.41229	0.250981	0.0542206	2.20684	7.57937	31.2183	0.557658	43.815	5.28072	17.2144	346.106
8	155.445	18.4175	3.43444	10.9107	3.95838	12.3519	0.0565991	98.1754	9.67843	3.51527	1.62441	0.714376	0.806151	0.479834	19.3524	3.85874	0.338049	0.247236	3.96894	8.05419	34.7812	0.568442	49.4513	23.5462	8.5314	155.445
9	484.082	13.3886	3.0976	10.2382	5.1659	12.6972	0.0117655	86.8044	6.39806	5.7482	2.55753	0.677471	0.670965	0.0864491	19.468	3.91515	0.506101	0.371036	4.33181	11.9011	41.4054	0.623782	44.967	32.7969	28.4748	484.082
